0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000
0.00000	0.00000	0.00000	0.00000	0.00000	0.00001	0.00000	-0.00001	-0.00001	-0.00001
0.00000	0.00001	0.00000	-0.00001	0.00002	0.00003	-0.00001	-0.00005	-0.00004	-0.00005
-0.00001	0.00003	-0.00001	-0.00003	0.00005	0.00008	-0.00002	-0.00016	-0.00013	-0.00016
-0.00001	0.00007	-0.00003	-0.00008	0.00012	0.00016	-0.00005	-0.00036	-0.00029	-0.00038
0.00000	0.00011	-0.00007	-0.00016	0.00025	0.00029	-0.00010	-0.00069	-0.00057	-0.00075
0.00003	0.00016	-0.00014	-0.00028	0.00045	0.00045	-0.00018	-0.00121	-0.00101	-0.00134
0.00008	0.00019	-0.00021	-0.00045	0.00077	0.00062	-0.00028	-0.00197	-0.00164	-0.00218
0.00016	0.00017	-0.00028	-0.00067	0.00122	0.00079	-0.00039	-0.00301	-0.00252	-0.00334
0.00026	0.00009	-0.00030	-0.00096	0.00183	0.00094	-0.00049	-0.00440	-0.00371	-0.00487
0.00038	-0.00008	-0.00024	-0.00132	0.00260	0.00105	-0.00054	-0.00619	-0.00526	-0.00681
0.00051	-0.00037	-0.00005	-0.00178	0.00354	0.00108	-0.00049	-0.00846	-0.00724	-0.00922
0.00063	-0.00080	0.00028	-0.00235	0.00462	0.00103	-0.00030	-0.01129	-0.00970	-0.01213
0.00073	-0.00139	0.00077	-0.00306	0.00581	0.00086	0.00011	-0.01479	-0.01273	-0.01559
0.00078	-0.00218	0.00140	-0.00394	0.00704	0.00053	0.00084	-0.01912	-0.01643	-0.01964
0.00076	-0.00321	0.00211	-0.00501	0.00822	0.00000	0.00198	-0.02445	-0.02092	-0.02432
0.00063	-0.00449	0.00285	-0.00629	0.00925	-0.00078	0.00366	-0.03098	-0.02633	-0.02969
0.00039	-0.00609	0.00351	-0.00782	0.01001	-0.00189	0.00601	-0.03894	-0.03283	-0.03581
0.00002	-0.00804	0.00398	-0.00961	0.01036	-0.00342	0.00919	-0.04860	-0.04058	-0.04275
-0.00047	-0.01041	0.00413	-0.01168	0.01015	-0.00547	0.01334	-0.06024	-0.04977	-0.05058
-0.00108	-0.01324	0.00383	-0.01403	0.00926	-0.00816	0.01861	-0.07414	-0.06061	-0.05938
-0.00179	-0.01660	0.00294	-0.01667	0.00752	-0.01162	0.02513	-0.09059	-0.07330	-0.06925
-0.00256	-0.02051	0.00133	-0.01956	0.00484	-0.01599	0.03301	-0.10987	-0.08805	-0.08026
-0.00336	-0.02503	-0.00112	-0.02267	0.00110	-0.02141	0.04232	-0.13221	-0.10508	-0.09246
-0.00414	-0.03016	-0.00449	-0.02593	-0.00376	-0.02802	0.05313	-0.15782	-0.12460	-0.10591
-0.00484	-0.03590	-0.00887	-0.02927	-0.00980	-0.03596	0.06543	-0.18687	-0.14679	-0.12064
-0.00540	-0.04223	-0.01431	-0.03261	-0.01702	-0.04536	0.07918	-0.21945	-0.17184	-0.13668
-0.00577	-0.04908	-0.02086	-0.03584	-0.02543	-0.05638	0.09430	-0.25565	-0.19988	-0.15402
-0.00588	-0.05641	-0.02853	-0.03885	-0.03499	-0.06911	0.11064	-0.29545	-0.23102	-0.17267
